state_ut,region_type,reference_year,total_population,sc_population,st_population,obc_population,general_population,source,notes
All India,country,,,,,,,,Aggregate row (optional)
Andhra Pradesh,state,,,,,,,,Placeholder row; populate from official tables for chosen year
Arunachal Pradesh,state,,,,,,,,
Assam,state,,,,,,,,
Bihar,state,,,,,,,,
Chhattisgarh,state,,,,,,,,
Goa,state,,,,,,,,
Gujarat,state,,,,,,,,
Haryana,state,,,,,,,,
Himachal Pradesh,state,,,,,,,,
Jharkhand,state,,,,,,,,
Karnataka,state,,,,,,,,
Kerala,state,,,,,,,,
Madhya Pradesh,state,,,,,,,,
Maharashtra,state,,,,,,,,
Manipur,state,,,,,,,,
Meghalaya,state,,,,,,,,
Mizoram,state,,,,,,,,
Nagaland,state,,,,,,,,
Odisha,state,,,,,,,,
Punjab,state,,,,,,,,
Rajasthan,state,,,,,,,,
Sikkim,state,,,,,,,,
Tamil Nadu,state,,,,,,,,
Telangana,state,,,,,,,,
Tripura,state,,,,,,,,
Uttar Pradesh,state,,,,,,,,
Uttarakhand,state,,,,,,,,
West Bengal,state,,,,,,,,
Andaman and Nicobar Islands,ut,,,,,,,,
Chandigarh,ut,,,,,,,,
Dadra and Nagar Haveli and Daman and Diu,ut,,,,,,,,
Delhi,ut,,,,,,,,
Jammu and Kashmir,ut,,,,,,,,
Ladakh,ut,,,,,,,,
Lakshadweep,ut,,,,,,,,
Puducherry,ut,,,,,,,,
